fall,Fell,Found,Grand Total
year,name (Count All),,
860,1,,1
920,1,,1
1399,1,,1
1490,1,,1
1491,1,,1
1495,1,,1
1519,1,,1
1520,,1,1
1575,,1,1
1583,1,,1
1600,,1,1
1621,1,,1
1623,1,,1
1628,1,,1
1632,1,,1
1636,1,,1
1637,1,,1
1647,1,,1
1654,1,,1
1662,1,,1
1668,1,,1
1671,1,,1
1688,1,,1
1704,1,,1
1715,1,,1
1716,,1,1
1723,1,,1
1724,,1,1
1740,1,,1
1741,1,,1
1749,,1,1
1750,1,,1
1751,1,,1
1753,2,,2
1766,1,,1
1768,2,,2
1769,1,,1
1773,1,,1
1775,2,,2
1776,,1,1
1779,1,,1
1781,,1,1
1784,,2,2
1785,1,,1
1787,1,,1
1790,1,,1
1791,1,,1
1792,,1,1
1793,,1,1
1794,1,,1
1795,2,,2
1796,2,,2
1797,,1,1
1798,2,,2
1801,1,,1
1803,3,,3
1804,3,3,6
1805,2,1,3
1806,1,,1
1807,2,,2
1808,4,1,5
1809,1,,1
1810,3,2,5
1811,3,,3
1812,4,,4
1813,2,,2
1814,4,1,5
1815,2,,2
1817,1,,1
1818,3,2,5
1819,2,1,3
1820,1,,1
1821,1,,1
1822,6,2,8
1823,2,,2
1824,3,,3
1825,2,1,3
1826,3,,3
1827,3,,3
1828,1,1,2
1829,3,1,4
1830,2,,2
1831,2,,2
1832,,1,1
1833,1,,1
1834,2,1,3
1835,2,,2
1836,3,2,5
1837,3,2,5
1838,5,2,7
1839,1,4,5
1840,3,4,7
1841,3,1,4
1842,4,1,5
1843,6,1,7
1844,3,1,4
1845,2,1,3
1846,3,4,7
1847,2,3,5
1848,4,,4
1849,1,2,3
1850,2,6,8
1851,3,,3
1852,4,4,8
1853,3,2,5
1854,1,8,9
1855,6,3,9
1856,2,4,6
1857,7,3,10
1858,4,4,8
1859,4,1,5
1860,6,5,11
1861,4,2,6
1862,2,1,3
1863,6,9,15
1864,3,1,4
1865,7,1,8
1866,7,5,12
1867,3,5,8
1868,11,5,16
1869,7,5,12
1870,3,3,6
1871,4,3,7
1872,4,2,6
1873,5,5,10
1874,3,3,6
1875,6,7,13
1876,5,4,9
1877,7,2,9
1878,6,3,9
1879,8,6,14
1880,7,8,15
1881,4,6,10
1882,4,5,9
1883,3,7,10
1884,3,8,11
1885,2,5,7
1886,7,3,10
1887,5,16,21
1888,,15,15
1889,5,10,15
1890,9,11,20
1891,2,8,10
1892,4,7,11
1893,4,8,12
1894,4,6,10
1895,4,6,10
1896,4,6,10
1897,8,4,12
1898,5,12,17
1899,7,7,14
1900,8,9,17
1901,5,5,10
1902,7,5,12
1903,8,14,22
1904,4,7,11
1905,5,9,14
1906,7,6,13
1907,4,12,16
1908,6,7,13
1909,2,9,11
1910,11,9,20
1911,5,7,12
1912,4,8,12
1913,4,7,11
1914,7,11,18
1915,2,11,13
1916,10,10,20
1917,10,9,19
1918,6,9,15
1919,7,7,14
1920,5,9,14
1921,8,10,18
1922,6,9,15
1923,6,10,16
1924,10,8,18
1925,9,9,18
1926,7,6,13
1927,6,10,16
1928,6,10,16
1929,7,8,15
1930,11,9,20
1931,6,16,22
1932,8,17,25
1933,17,13,30
1934,10,17,27
1935,6,13,19
1936,5,30,35
1937,7,47,54
1938,11,34,45
1939,10,22,32
1940,5,32,37
1941,4,19,23
1942,8,12,20
1943,3,7,10
1944,7,13,20
1945,4,7,11
1946,5,8,13
1947,6,13,19
1948,3,17,20
1949,13,10,23
1950,12,30,42
1951,7,13,20
1952,6,12,18
1953,3,6,9
1954,6,16,22
1955,4,20,24
1956,8,19,27
1957,6,12,18
1958,2,16,18
1959,6,10,16
1960,5,28,33
1961,7,20,27
1962,7,29,36
1963,7,27,34
1964,7,26,33
1965,4,46,50
1966,5,21,26
1967,9,28,37
1968,5,49,54
1969,6,64,70
1970,8,40,48
1971,7,42,49
1972,3,31,34
1973,4,27,31
1974,7,684,691
1975,4,334,338
1976,12,40,52
1977,10,411,421
1978,3,259,262
1979,2,3044,3046
1980,6,148,154
1981,7,456,463
1982,3,341,344
1983,5,355,360
1984,10,393,403
1985,2,376,378
1986,9,1366,1375
1987,1,915,916
1988,6,2290,2296
1989,7,129,136
1990,8,1510,1518
1991,5,872,877
1992,3,371,374
1993,4,975,979
1994,6,714,720
1995,6,481,487
1996,5,578,583
1997,3,1693,1696
1998,9,2688,2697
1999,7,1685,1692
2000,4,1818,1822
2001,5,1645,1650
2002,8,2070,2078
2003,9,3314,3323
2004,6,1952,1958
2005,,884,884
2006,5,2583,2588
2007,8,1181,1189
2008,9,948,957
2009,5,1493,1498
2010,6,1000,1006
2011,4,793,797
2012,2,233,235
2013,1,10,11
Grand Total,1107,44609,45716