fall,Found,Fell,Grand Total
year,name (Count All),,
860,,1,1
920,,1,1
1399,,1,1
1490,,1,1
1491,,1,1
1495,,1,1
1519,,1,1
1520,1,,1
1575,1,,1
1583,,1,1
1600,1,,1
1621,,1,1
1623,,1,1
1628,,1,1
1632,,1,1
1636,,1,1
1637,,1,1
1647,,1,1
1654,,1,1
1662,,1,1
1668,,1,1
1671,,1,1
1688,,1,1
1704,,1,1
1715,,1,1
1716,1,,1
1723,,1,1
1724,1,,1
1740,,1,1
1741,,1,1
1749,1,,1
1750,,1,1
1751,,1,1
1753,,2,2
1766,,1,1
1768,,2,2
1769,,1,1
1773,,1,1
1775,,2,2
1776,1,,1
1779,,1,1
1781,1,,1
1784,2,,2
1785,,1,1
1787,,1,1
1790,,1,1
1791,,1,1
1792,1,,1
1793,1,,1
1794,,1,1
1795,,2,2
1796,,2,2
1797,1,,1
1798,,2,2
1801,,1,1
1803,,3,3
1804,3,3,6
1805,1,2,3
1806,,1,1
1807,,2,2
1808,1,4,5
1809,,1,1
1810,2,3,5
1811,,3,3
1812,,4,4
1813,,2,2
1814,1,4,5
1815,,2,2
1817,,1,1
1818,2,3,5
1819,1,2,3
1820,,1,1
1821,,1,1
1822,2,6,8
1823,,2,2
1824,,3,3
1825,1,2,3
1826,,3,3
1827,,3,3
1828,1,1,2
1829,1,3,4
1830,,2,2
1831,,2,2
1832,1,,1
1833,,1,1
1834,1,2,3
1835,,2,2
1836,2,3,5
1837,2,3,5
1838,2,5,7
1839,4,1,5
1840,4,3,7
1841,1,3,4
1842,1,4,5
1843,1,6,7
1844,1,3,4
1845,1,2,3
1846,4,3,7
1847,3,2,5
1848,,4,4
1849,2,1,3
1850,6,2,8
1851,,3,3
1852,4,4,8
1853,2,3,5
1854,8,1,9
1855,3,6,9
1856,4,2,6
1857,3,7,10
1858,4,4,8
1859,1,4,5
1860,5,6,11
1861,2,4,6
1862,1,2,3
1863,9,6,15
1864,1,3,4
1865,1,7,8
1866,5,7,12
1867,5,3,8
1868,5,11,16
1869,5,7,12
1870,3,3,6
1871,3,4,7
1872,2,4,6
1873,5,5,10
1874,3,3,6
1875,7,6,13
1876,4,5,9
1877,2,7,9
1878,3,6,9
1879,6,8,14
1880,8,7,15
1881,6,4,10
1882,5,4,9
1883,7,3,10
1884,8,3,11
1885,5,2,7
1886,3,7,10
1887,16,5,21
1888,15,,15
1889,10,5,15
1890,11,9,20
1891,8,2,10
1892,7,4,11
1893,8,4,12
1894,6,4,10
1895,6,4,10
1896,6,4,10
1897,4,8,12
1898,12,5,17
1899,7,7,14
1900,9,8,17
1901,5,5,10
1902,5,7,12
1903,14,8,22
1904,7,4,11
1905,9,5,14
1906,6,7,13
1907,12,4,16
1908,7,6,13
1909,9,2,11
1910,9,11,20
1911,7,5,12
1912,8,4,12
1913,7,4,11
1914,11,7,18
1915,11,2,13
1916,10,10,20
1917,9,10,19
1918,9,6,15
1919,7,7,14
1920,9,5,14
1921,10,8,18
1922,9,6,15
1923,10,6,16
1924,8,10,18
1925,9,9,18
1926,6,7,13
1927,10,6,16
1928,10,6,16
1929,8,7,15
1930,9,11,20
1931,16,6,22
1932,17,8,25
1933,13,17,30
1934,17,10,27
1935,13,6,19
1936,30,5,35
1937,47,7,54
1938,34,11,45
1939,22,10,32
1940,32,5,37
1941,19,4,23
1942,12,8,20
1943,7,3,10
1944,13,7,20
1945,7,4,11
1946,8,5,13
1947,13,6,19
1948,17,3,20
1949,10,13,23
1950,30,12,42
1951,13,7,20
1952,12,6,18
1953,6,3,9
1954,16,6,22
1955,20,4,24
1956,19,8,27
1957,12,6,18
1958,16,2,18
1959,10,6,16
1960,28,5,33
1961,20,7,27
1962,29,7,36
1963,27,7,34
1964,26,7,33
1965,46,4,50
1966,21,5,26
1967,28,9,37
1968,49,5,54
1969,63,6,69
1970,40,8,48
1971,42,7,49
1972,31,3,34
1973,27,4,31
1974,684,7,691
1975,334,4,338
1976,40,12,52
1977,411,10,421
1978,259,3,262
1979,3044,2,3046
1980,148,6,154
1981,456,7,463
1982,341,3,344
1983,355,5,360
1984,393,10,403
1985,376,2,378
1986,1366,9,1375
1987,915,1,916
1988,2290,6,2296
1989,129,7,136
1990,1510,8,1518
1991,872,5,877
1992,371,3,374
1993,975,4,979
1994,714,6,720
1995,481,6,487
1996,578,5,583
1997,1693,3,1696
1998,2688,9,2697
1999,1685,7,1692
2000,1818,4,1822
2001,1645,5,1650
2002,2070,8,2078
2003,3314,9,3323
2004,1952,6,1958
2005,884,,884
2006,2583,5,2588
2007,1181,8,1189
2008,948,9,957
2009,1493,5,1498
2010,1000,6,1006
2011,793,4,797
2012,233,2,235
2013,10,1,11
Grand Total,44608,1107,45715